placeholder,Title,Date of Trans,Deemed Execution Day,Transaction Code,empty,Amount,Adq or Disp,Price,Shares Owned after Trans,Direct or Indirect Ownershipt,Nature of Ind Ownershipt,position,name_person,ticker
0,Common Stock,07/07/2021,,J(1),,9095,A,$1.3,133319,D,,,PORCELAIN MICHAEL ,AIRI 
0,Common Stock,07/07/2021,,F,,924(1),D,$37.94,39666,D,, Chief Accounting Officer & VP,BROWN GARRARD ,AVID 
0,Class A Common Stock,07/06/2021,,P,,29999,A,$33.77(2),3636147,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
1,Class A Common Stock,07/06/2021,,P,,1333,A,$33.77(2),3637480,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
2,Class A Common Stock,07/06/2021,,P,,24344,A,$34.29(3),3661824,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
3,Class A Common Stock,07/06/2021,,P,,1082,A,$34.29(3),3662906,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
4,Class A Common Stock,07/07/2021,,P,,24604,A,$33.7(4),3687510,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
5,Class A Common Stock,07/07/2021,,P,,736,A,$33.7(4),3688246,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
6,Class A Common Stock,07/07/2021,,P,,12842,A,$34.15(5),3701088,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
7,Class A Common Stock,07/07/2021,,P,,384,A,$34.15(5),3701472,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
8,Class A Common Stock,07/08/2021,,P,,1515,A,$33.91(6),3702987,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
9,Class A Common Stock,07/08/2021,,P,,47,A,$33.91(6),3703034,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
10,Class A Common Stock,07/08/2021,,P,,24003,A,$34.47(7),3727037,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
11,Class A Common Stock,07/08/2021,,P,,751,A,$34.47(7),3727788,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
0,Common Stock,07/06/2021,,M(1),,10000,A,$6.55,31604,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
1,Common Stock,07/06/2021,,S(1),,10000,D,$38.83(2),21604,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
2,Common Stock,07/07/2021,,M(1),,10000,A,$6.55,31604,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
3,Common Stock,07/07/2021,,S(1),,6486,D,$38.17(3),25118,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
4,Common Stock,07/07/2021,,S(1),,3514,D,$39.2(4),21604,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
0,Class 1 Common Stock,07/06/2021,,S,,3151895,D,$11.7294,28367064,I,See footnotes(1)(2),,"BAIN CAPITAL VENTURE INVESTORS, LLC ",BTRS 
0,"Common Stock, par value $0.01 per share",07/06/2021,,P,,"5,882,353(1)",A,$16.0225,5882353,D(2),,,JAB Indulgence B.V. ,DNUT 
1,"Common Stock, par value $0.01 per share",,,,,,,,62142733,I,JAB Indulgence B.V.(3),,JAB Indulgence B.V. ,DNUT 
0,Class C Capital Stock,07/06/2021,,S,,100,D,"$2,568.43(1)",19145101,D,,,Brin Sergey ,GOOG 
1,Class C Capital Stock,07/06/2021,,S,,100,D,"$2,572.25(2)",19145001,D,,,Brin Sergey ,GOOG 
2,Class C Capital Stock,07/06/2021,,S,,655,D,"$2,573.7727(3)",19144346,D,,,Brin Sergey ,GOOG 
3,Class C Capital Stock,07/06/2021,,S,,200,D,"$2,574.86(4)",19144146,D,,,Brin Sergey ,GOOG 
4,Class C Capital Stock,07/06/2021,,S,,200,D,"$2,575.73(5)",19143946,D,,,Brin Sergey ,GOOG 
5,Class C Capital Stock,07/06/2021,,S,,300,D,"$2,576.96(6)",19143646,D,,,Brin Sergey ,GOOG 
6,Class C Capital Stock,07/06/2021,,S,,1050,D,"$2,578.101(7)",19142596,D,,,Brin Sergey ,GOOG 
7,Class C Capital Stock,07/06/2021,,S,,600,D,"$2,579.195(8)",19141996,D,,,Brin Sergey ,GOOG 
8,Class C Capital Stock,07/06/2021,,S,,994,D,"$2,580.28(9)",19141002,D,,,Brin Sergey ,GOOG 
9,Class C Capital Stock,07/06/2021,,S,,1288,D,"$2,581.3717(10)",19139714,D,,,Brin Sergey ,GOOG 
10,Class C Capital Stock,07/06/2021,,S,,803,D,"$2,582.7395(11)",19138911,D,,,Brin Sergey ,GOOG 
11,Class C Capital Stock,07/06/2021,,S,,800,D,"$2,584.1613(12)",19138111,D,,,Brin Sergey ,GOOG 
12,Class C Capital Stock,07/06/2021,,S,,915,D,"$2,585.3444(13)",19137196,D,,,Brin Sergey ,GOOG 
13,Class C Capital Stock,07/06/2021,,S,,300,D,"$2,586.4367(14)",19136896,D,,,Brin Sergey ,GOOG 
14,Class C Capital Stock,07/06/2021,,S,,400,D,"$2,587.46(15)",19136496,D,,,Brin Sergey ,GOOG 
15,Class C Capital Stock,07/06/2021,,S,,1733,D,"$2,588.5207(16)",19134763,D,,,Brin Sergey ,GOOG 
16,Class C Capital Stock,07/06/2021,,S,,430,D,"$2,589.5896(17)",19134333,D,,,Brin Sergey ,GOOG 
17,Class C Capital Stock,07/06/2021,,S,,500,D,"$2,590.4933(18)",19133833,D,,,Brin Sergey ,GOOG 
18,Class C Capital Stock,07/06/2021,,S,,600,D,"$2,591.5628(19)",19133233,D,,,Brin Sergey ,GOOG 
19,Class C Capital Stock,07/06/2021,,S,,600,D,"$2,592.5783(20)",19132633,D,,,Brin Sergey ,GOOG 
20,Class C Capital Stock,07/06/2021,,S,,600,D,"$2,593.6583(21)",19132033,D,,,Brin Sergey ,GOOG 
21,Class C Capital Stock,07/06/2021,,S,,700,D,"$2,594.5743(22)",19131333,D,,,Brin Sergey ,GOOG 
22,Class C Capital Stock,07/06/2021,,S,,21,D,"$2,595.31(23)",19131312,D,,,Brin Sergey ,GOOG 
0,Common Stock,07/07/2021,,M,,10000,A,$11.33,"122,278(1)",D,," CFO, EVP & Treasurer",PETERS WILLIAM J ,AMPH 
1,Common Stock,07/07/2021,,S(2),,10000,D,$20.3739(2),112278,D,," CFO, EVP & Treasurer",PETERS WILLIAM J ,AMPH 
0,Class A Common Stock,07/06/2021,,C,,"826,451(3)(4)",A,$0.00,826451,I,See Footnotes(1)(2),,Anderson Steven P. ,SFIX 
1,Class A Common Stock,07/06/2021,,J(1),,"826,451(3)(4)",D,$0.00,0,I,See Footnotes(1)(2),,Anderson Steven P. ,SFIX 
0,Class A Common Stock,07/06/2021,,S(1),,12256,D,$400.143(2),27191,D,, Chief Revenue Officer,Azus Ryan ,ZM 
0,Class 1 Common Stock,07/06/2021,,S,,3151895,D,$11.7294,28367064,I,See footnotes(1)(2),,"BAIN CAPITAL VENTURE INVESTORS, LLC ",BTRS 
0,Common Stock,07/06/2021,,M,,5833,A,$42.22,67973,D,, Vice Chairman & CFO,Shigemura Dean Y ,BOH 
1,Common Stock,07/06/2021,,S,,"5,833(1)",D,$83.5,62140,D,, Vice Chairman & CFO,Shigemura Dean Y ,BOH 
2,Common Stock,,,,,,,,837,I,IRA Account, Vice Chairman & CFO,Shigemura Dean Y ,BOH 
0,Common Stock,07/06/2021,,S(1),,6000.0,D,$7.54,74819,D,," CFO, SECRETARY AND TREASURER",BARNES JAMES A ,WRAP 
1,Common Stock,,,,,,,,1742741,I,By family trust," CFO, SECRETARY AND TREASURER",BARNES JAMES A ,WRAP 
2,Common Stock,,,,,,,,358959,I,"By Sunrise Capital, Inc."," CFO, SECRETARY AND TREASURER",BARNES JAMES A ,WRAP 
0,Common Stock,07/06/2021,,F(1),,4160,D,$4.07,267059,D,, President and CEO,BARR WAYNE JR ,HCHC 
0,Class A Common Stock,07/06/2021,,C,,"826,451(3)(4)",A,$0.00,826451,I,See Footnotes(1)(2),,BASELINE VENTURES 2009 LLC ,SFIX 
1,Class A Common Stock,07/06/2021,,J(1),,"826,451(3)(4)",D,$0.00,0,I,See Footnotes(1)(2),,BASELINE VENTURES 2009 LLC ,SFIX 
0,Class 1 Common Stock,07/06/2021,,S,,3151895,D,$11.7294,28367064,I,See footnotes(1)(2),,"BAIN CAPITAL VENTURE INVESTORS, LLC ",BTRS 
0,Common Stock,07/06/2021,,M,,11461,A,$1.64,280771,D,, CEO,Rice Michael ,BLFS 
1,Common Stock,07/06/2021,,S(1),,11461,D,$46.28(2),269310,D,, CEO,Rice Michael ,BLFS 
2,Common Stock,07/08/2021,,M,,11464,A,$1.64,280774,D,, CEO,Rice Michael ,BLFS 
3,Common Stock,07/08/2021,,S(1),,11464,D,$46.15(3),269310,D,, CEO,Rice Michael ,BLFS 
0,Common Stock,07/06/2021,,X,,285714.0,A,$7,1797638,I,See footnote(1), Executive Chairman,BRONFMAN EDGAR JR ,FUBO 
1,Common Stock,,,,,,,,45680,D,, Executive Chairman,BRONFMAN EDGAR JR ,FUBO 
2,Common Stock,,,,,,,,3431642,I,See footnote(2), Executive Chairman,BRONFMAN EDGAR JR ,FUBO 
3,Common Stock,,,,,,,,797724,I,See footnote(3), Executive Chairman,BRONFMAN EDGAR JR ,FUBO 
0,Class 1 Common Stock,07/06/2021,,S,,3151895,D,$11.7294,28367064,I,See footnotes(1)(2),,Harris Matthew C ,BTRS 
0,Class 1 Common Stock,07/06/2021,,S,,3151895,D,$11.7294,28367064,I,See footnotes(1)(2),,"BAIN CAPITAL VENTURE INVESTORS, LLC ",BTRS 
0,Class 1 Common Stock,07/06/2021,,S,,3151895,D,$11.7294,28367064,I,See footnotes(1)(2),,"BAIN CAPITAL VENTURE INVESTORS, LLC ",BTRS 
0,Class A Common Stock,07/06/2021,,C,,"826,451(3)(4)",A,$0.00,826451,I,See Footnotes(1)(2),,BASELINE VENTURES 2009 LLC ,SFIX 
1,Class A Common Stock,07/06/2021,,J(1),,"826,451(3)(4)",D,$0.00,0,I,See Footnotes(1)(2),,BASELINE VENTURES 2009 LLC ,SFIX 
0,Common Stock,07/01/2021,,A,,1322,A,$0,114521,D,,,Camp James S. ,BCML 
0,Common Stock,07/01/2021,,A,,1322.0,A,$0,77243,D,, Chairman of the Board,Kendall Lloyd W. Jr. ,BCML 
1,Common Stock,,,,,,,,10000,I,By 401(lK) Plan, Chairman of the Board,Kendall Lloyd W. Jr. ,BCML 
0,Common Stock,07/01/2021,,A,,1322.0,A,$0,52049,D,,,Spatz David M. ,BCML 
1,Common Stock,,,,,,,,1500,I,Held by Spouse,,Spatz David M. ,BCML 
0,Common Stock,07/01/2021,,A,,1322,A,$0,42700,D,,,Chaudhary Harpreet S. ,BCML 
0,Ordinary Shares,07/06/2021,,S(1),,44300.0,D,$25.4187(2),6722631,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
1,Ordinary Shares,07/07/2021,,S(1),,40700.0,D,$25.1412(3),6343333,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
2,Ordinary Shares,,,,,,,,545597,I,See Footnote(4), Chief Executive Officer,OYLER JOHN ,BGNE 
3,Ordinary Shares,,,,,,,,7727927,I,See Footnote(5), Chief Executive Officer,OYLER JOHN ,BGNE 
4,Ordinary Shares,,,,,,,,29439115,I,See Footnote(6), Chief Executive Officer,OYLER JOHN ,BGNE 
5,Ordinary Shares,,,,,,,,10000000,I,See Footnote(7), Chief Executive Officer,OYLER JOHN ,BGNE 
6,Ordinary Shares,,,,,,,,102188,I,See Footnote(8), Chief Executive Officer,OYLER JOHN ,BGNE 
7,American Depositary Shares,07/06/2021,,S(1),,900.0,D,$321.7223(9),12175,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
8,American Depositary Shares,07/06/2021,,S(1),,3062.0,D,$322.926(10),9113,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
9,American Depositary Shares,07/06/2021,,S(1),,2023.0,D,$323.6334(11),7090,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
10,American Depositary Shares,07/06/2021,,S(1),,885.0,D,$325.0105(12),6205,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
11,American Depositary Shares,07/06/2021,,S(1),,3015.0,D,$326.2763(13),3190,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
12,American Depositary Shares,07/06/2021,,S(1),,2290.0,D,$327.2212(14),900,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
13,American Depositary Shares,07/06/2021,,S(1),,700.0,D,$328.0657(15),200,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
14,American Depositary Shares,07/06/2021,,S(1),,100.0,D,$329.41,100,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
15,American Depositary Shares,07/06/2021,,S(1),,100.0,D,$332.26,0,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
16,American Depositary Shares,07/07/2021,,S(1),,900.0,D,$310.3777(16),25146,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
17,American Depositary Shares,07/07/2021,,S(1),,2400.0,D,$311.3731(17),22746,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
18,American Depositary Shares,07/07/2021,,S(1),,3675.0,D,$312.1288(18),19071,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
19,American Depositary Shares,07/07/2021,,S(1),,3200.0,D,$313.3831(19),15871,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
20,American Depositary Shares,07/07/2021,,S(1),,3100.0,D,$314.5032(20),12771,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
21,American Depositary Shares,07/07/2021,,S(1),,3137.0,D,$315.1846(21),9634,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
22,American Depositary Shares,07/07/2021,,S(1),,2400.0,D,$316.4327(22),7234,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
23,American Depositary Shares,07/07/2021,,S(1),,1804.0,D,$317.3833(23),5430,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
24,American Depositary Shares,07/07/2021,,S(1),,1673.0,D,$318.5296(24),3757,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
25,American Depositary Shares,07/07/2021,,S(1),,1100.0,D,$319.5891(25),2657,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
26,American Depositary Shares,07/07/2021,,S(1),,900.0,D,$320.5222(26),1757,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
27,American Depositary Shares,07/07/2021,,S(1),,300.0,D,$321.4033(27),1457,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
28,American Depositary Shares,07/07/2021,,S(1),,300.0,D,$322.6298(28),1157,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
29,American Depositary Shares,07/07/2021,,S(1),,857.0,D,$323.7109(29),300,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
0,Ordinary Shares,07/08/2021,,S(1),,51300.0,D,$24.244(2),6085580,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
1,Ordinary Shares,,,,,,,,545597,I,See Footnote(3), Chief Executive Officer,OYLER JOHN ,BGNE 
2,Ordinary Shares,,,,,,,,7727927,I,See Footnote(4), Chief Executive Officer,OYLER JOHN ,BGNE 
3,Ordinary Shares,,,,,,,,29439115,I,See Footnote(5), Chief Executive Officer,OYLER JOHN ,BGNE 
4,Ordinary Shares,,,,,,,,10000000,I,See Footnote(6), Chief Executive Officer,OYLER JOHN ,BGNE 
5,Ordinary Shares,,,,,,,,102188,I,See Footnote(7), Chief Executive Officer,OYLER JOHN ,BGNE 
6,American Depositary Shares,07/07/2021,,S(1),,300.0,D,$325.2333(8),0,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
7,American Depositary Shares,07/08/2021,,S(1),,400.0,D,$310.6362(9),15481,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
8,American Depositary Shares,07/08/2021,,S(1),,600.0,D,$312.3067(10),14881,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
9,American Depositary Shares,07/08/2021,,S(1),,1600.0,D,$313.2269(11),13281,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
10,American Depositary Shares,07/08/2021,,S(1),,1309.0,D,$314.5272(12),11972,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
11,American Depositary Shares,07/08/2021,,S(1),,700.0,D,$315.6414(13),11272,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
12,American Depositary Shares,07/08/2021,,S(1),,945.0,D,$316.787(14),10327,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
13,American Depositary Shares,07/08/2021,,S(1),,300.0,D,$318.0333(15),10027,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
14,American Depositary Shares,07/08/2021,,S(1),,1100.0,D,$319.4308(16),8927,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
15,American Depositary Shares,07/08/2021,,S(1),,4524.0,D,$320.2014(17),4403,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
16,American Depositary Shares,07/08/2021,,S(1),,2500.0,D,$321.1493(18),1903,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
17,American Depositary Shares,07/08/2021,,S(1),,900.0,D,$322.0818(19),1003,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
18,American Depositary Shares,07/08/2021,,S(1),,200.0,D,$322.915(20),803,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
19,American Depositary Shares,07/08/2021,,S(1),,800.0,D,$324.3822(21),3,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
20,American Depositary Shares,07/08/2021,,S(1),,3.0,D,$324.98,0,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
0,Common Stock,07/06/2021,,S(1),,5000.0,D,$10.9108(2),3619933,D,, CEO and Chairman,Boal Steven R. ,QUOT 
1,Common Stock,,,,,,,,912348,I,By Family Trust(3), CEO and Chairman,Boal Steven R. ,QUOT 
2,Common Stock,,,,,,,,3237,I,By Child Trust(4), CEO and Chairman,Boal Steven R. ,QUOT 
3,Common Stock,,,,,,,,3237,I,By Child Trust(5), CEO and Chairman,Boal Steven R. ,QUOT 
4,Common Stock,,,,,,,,3237,I,By Child Trust(6), CEO and Chairman,Boal Steven R. ,QUOT 
0,Common Stock,07/06/2021,,S(1),,4743,D,$385.62(2),"314,940(3)",D,, Chief Financial Officer,Boelte Craig E. ,PAYC 
1,Common Stock,07/06/2021,,S(1),,4186,D,$386.42(4),"310,754(3)",D,, Chief Financial Officer,Boelte Craig E. ,PAYC 
2,Common Stock,07/06/2021,,S(1),,5483,D,$387.51(5),"305,271(3)",D,, Chief Financial Officer,Boelte Craig E. ,PAYC 
3,Common Stock,07/06/2021,,S(1),,3188,D,$388.6(6),"302,083(3)",D,, Chief Financial Officer,Boelte Craig E. ,PAYC 
4,Common Stock,07/06/2021,,S(1),,1700,D,$389.41(7),"300,383(3)",D,, Chief Financial Officer,Boelte Craig E. ,PAYC 
5,Common Stock,07/06/2021,,S(1),,700,D,$390.15(8),"299,683(3)",D,, Chief Financial Officer,Boelte Craig E. ,PAYC 
0,Common Stock,07/06/2021,,M,,8250,A,$2.1,30131,D,, Chief Technical Officer,Breinlinger Keith ,BLI 
1,Common Stock,07/06/2021,,S(1),,4750,D,$45.1467(2),25381,D,, Chief Technical Officer,Breinlinger Keith ,BLI 
2,Common Stock,07/06/2021,,S(1),,2909,D,$46.8859(3),22472,D,, Chief Technical Officer,Breinlinger Keith ,BLI 
3,Common Stock,07/06/2021,,S(1),,591,D,$47.4412(4),21881,D,, Chief Technical Officer,Breinlinger Keith ,BLI 
0,Common Stock,07/06/2021,,S(1),,4906.0,D,$46.7826(2),1014747,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
1,Common Stock,07/06/2021,,S(1),,1349.0,D,$47.1668(3),1013398,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
2,Common Stock,07/06/2021,,S(1),,96.0,D,$48.8341(4),1013302,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
3,Common Stock,07/07/2021,,S(1),,1166.0,D,$46.0784(5),1012136,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
4,Common Stock,07/07/2021,,S(1),,1842.0,D,$47.2801(6),1010294,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
5,Common Stock,07/07/2021,,S(1),,1506.0,D,$47.7626(7),1008788,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
6,Common Stock,07/06/2021,,S(8),,12947.0,D,$46.8364(9),995841,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
7,Common Stock,07/06/2021,,S(8),,800.0,D,$47.3298(10),995041,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
8,Common Stock,07/06/2021,,S(8),,200.0,D,$49.205(11),994841,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
9,Common Stock,,,,,,,,25260,I,See Footnote(12), Chief Operating Officer,Bunker Kevin D. ,ZNTL 
0,MIND Common Stock,07/08/2021,,P,,20000,A,$1.95(1),61930,D,, Co-CEO and CFO,CAPPS ROBERT P ,MIND 
0,Common Stock,03/05/2021,,L,,18(1),A,$111.01,16370,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
1,Common Stock,04/05/2021,,J,,62(2),A,$116.435,16432,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
2,Common Stock,04/05/2021,,L,,17(1),A,$116.435,16449,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
3,Common Stock,05/05/2021,,L,,25(1),A,$118.074,16474,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
4,Common Stock,06/07/2021,,L,,17(1),A,$117.56,16491,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
5,Common Stock,07/06/2021,,J,,66(2),A,$120.055,16557,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
6,Common Stock,07/06/2021,,L,,17(1),A,$120.055,"16,574(3)(4)",D,, Executive VP & General Counsel,Moriarty James F ,CPK 
7,Common Stock,,,,,,,,387(5),I,401k Plan, Executive VP & General Counsel,Moriarty James F ,CPK 
0,Common Stock,07/06/2021,,P,,202.0,A,$24.5561,3116,D,,,Loughery Robert G ,CZNC 
1,Common Stock,,,,,,,,2,I,By Spouse,,Loughery Robert G ,CZNC 
0,Common Stock,07/06/2021,,P,,180(1),A,$73.7299,"38,298.4548(2)",D,,,FISHER ROBERT D ,CHCO 
0,Common Stock,07/06/2021,,P,,150(1),A,$73.7299,"55,407.0334(2)",D,,,HYLTON TRACY W II ,CHCO 
1,Common Stock,,,,,,,,1586,I,"as cust for daughter, Traci Jo Hylton UWVUGMA",,HYLTON TRACY W II ,CHCO 
2,Common Stock,,,,,,,,3800,I,"by daughter, Traci Jo Hylton",,HYLTON TRACY W II ,CHCO 
3,Common Stock,,,,,,,,4500,I,as cust for Morgan T. Hylton UWVUGMA,,HYLTON TRACY W II ,CHCO 
