placeholder,Title,Date of Trans,Deemed Execution Day,Transaction Code,empty,Amount,Adq or Disp,Price,Shares Owned after Trans,Direct or Indirect Ownershipt,Nature of Ind Ownershipt,position,name_person,ticker
0,Common Stock,07/06/2021,,A,,17647,A(1),$0,17647,D,, General Counsel,Storey Lisa E ,EVCM 
1,Common Stock,07/06/2021,,P,,2941,A,$17,2941,I,By Spouse, General Counsel,Storey Lisa E ,EVCM 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Common Stock,07/08/2021,,A,,1236,A,$15.21,61393,D,,,TISCH DANIEL R ,TRC 
0,Tejon Ranch Co. Common Stock,07/08/2021,,A(1),,"1,154(1)",A,$15.21,"68,501(1)(2)",I(1)(2),Tejon Ranch Co. Non-Qualifed Deferred Compensation Plan Trust.(1),,METCALFE NORMAN J ,TRC 
0,Tejon Ranch Co. Common Stock,07/08/2021,,A,,"1,483(1)",A,$15.21,"79,414(1)(2)",I(1)(2),Tejon Ranch Co. Non-Qualifed Deferred Compensation Plan Truact,,STACK GEOFFREY L ,TRC 
0,Ordinary Shares,06/30/2021,,P,,1051480.0,A,$0.034(1),1051480,D,, CEO and Director,COMMISSIONG GERALD ,TOMDF 
1,Ordinary Shares,,,,,,,,78025645,I,See footnote(2), CEO and Director,COMMISSIONG GERALD ,TOMDF 
0,Class A Common Stock,07/06/2021,,S(1),,1200,D,$386.08,"77,726(2)",D,, Chief Financial Officer,Shipchandler Khozema ,TWLO 
0,COMMON STOCK,07/06/2021,,M,,20000,A,$0.93(1),97163,D,,,Ballesta Moya Gloria L ,UEC 
1,COMMON STOCK,07/06/2021,,F,,7783,D,$2.39,89380,D,,,Ballesta Moya Gloria L ,UEC 
2,COMMON STOCK,07/07/2021,,S,,3300,D,$2.32,86080,D,,,Ballesta Moya Gloria L ,UEC 
3,COMMON STOCK,07/07/2021,,S,,16700,D,$2.31,69380,D,,,Ballesta Moya Gloria L ,UEC 
0,Common Stock,07/06/2021,,S,,"2,000(1)",D,$5.92,2098475,D,,,LONG MICHAEL R ,USIO 
1,Common Stock,07/07/2021,,S,,"2,000(1)",D,$5.95,2096475,D,,,LONG MICHAEL R ,USIO 
0,"Common Stock, par value $0.001 per share",07/06/2021,,S(1),,879,D,$59.64(2),75423,D,,,Segev Ofer ,VRNS 
1,"Common Stock, par value $0.001 per share",07/06/2021,,S(1),,621,D,$60.35(3),74802,D,,,Segev Ofer ,VRNS 
0,Common Stock,07/07/2021,,S(1),,1108,D,$230.2898(2),119327,D,, President & COO,STRUBBE TODD B ,VRSN 
1,Common Stock,07/07/2021,,S(1),,965,D,$231.3624(3),118362,D,, President & COO,STRUBBE TODD B ,VRSN 
2,Common Stock,07/07/2021,,S(1),,927,D,$232.4974(4),117435,D,, President & COO,STRUBBE TODD B ,VRSN 
0,Common Stock,07/07/2021,,M,,5000,A,$5.175,114277,D,, Chief Medical Officer,Pang Phillip ,VIR 
1,Common Stock,07/07/2021,,S(1),,3505,D,$40.1632(2),110772,D,, Chief Medical Officer,Pang Phillip ,VIR 
2,Common Stock,07/07/2021,,S(1),,1495,D,$40.9089(3),109277,D,, Chief Medical Officer,Pang Phillip ,VIR 
0,Common Stock(1),07/06/2021,,A,,2073,A,$0.0,2073,D,,,Suzuki Miyuki ,WDC 
0,Common Stock,07/07/2021,,A(1),,63,A,$19.77,"6,459(2)",D,,,WIERENGA WENDALL ,CYTK 
0,Common Stock,07/07/2021,,A,,85.301(1),A,$204.89,15626.9078,D,,,WIJNBERG SANDRA S ,TROW 
0,Common Stock,07/06/2021,,M(1),,1750.0,A,$1.6806,"596,529(2)",D,, President and CEO,Watanabe Todd Franklin ,ARQT 
1,Common Stock,07/06/2021,,S(1),,1750.0,D,$26.58,"594,779(2)",D,, President and CEO,Watanabe Todd Franklin ,ARQT 
2,Common Stock,,,,,,,,57358,I,By LLC(3), President and CEO,Watanabe Todd Franklin ,ARQT 
3,Common Stock,,,,,,,,17850,I,By Trust(4), President and CEO,Watanabe Todd Franklin ,ARQT 
4,Common Stock,,,,,,,,17850,I,By Trust(5), President and CEO,Watanabe Todd Franklin ,ARQT 
5,Common Stock,,,,,,,,124956,I,By Trust(6), President and CEO,Watanabe Todd Franklin ,ARQT 
0,Ordinary Shares(1),07/06/2021,,A,V,113,A,$137.122(2),31780,D,, Chief Science Officer,Weinberg Uri ,NVCR 
0,Class A Common Stock,07/06/2021,,C(1),,3000000,A,(1),3000000,D(3),,,"Wengen Alberta, LP ",LAUR 
0,Common Stock,07/06/2021,,A(1),,29110,A,(1),105684,D,, Chief Legal Officer,Wolberg Steven ,NETE 
0,Class A Common Stock,07/07/2021,,S,,5000.0,D,$76.8531(1),12000,I,By Justin Yeshil Wickett Trust(2),,YESIL MAGDALENA ,SMAR 
1,Class A Common Stock,07/07/2021,,S,,5000.0,D,$76.8662(3),12002,I,By Troy Kevork Wickett Trust(2),,YESIL MAGDALENA ,SMAR 
2,Class A Common Stock,,,,,,,,16551,D,,,YESIL MAGDALENA ,SMAR 
0,Class A Common Stock,07/06/2021,,S(1),,1400,D,$179.125(2),"322,754(3)",D,, Chief Business & Legal Officer,Yandell Keith ,DASH 
1,Class A Common Stock,07/06/2021,,S(1),,5100,D,$180.012(4),"317,654(3)",D,, Chief Business & Legal Officer,Yandell Keith ,DASH 
2,Class A Common Stock,07/06/2021,,S(1),,1300,D,$181.103(5),"316,354(3)",D,, Chief Business & Legal Officer,Yandell Keith ,DASH 
3,Class A Common Stock,07/06/2021,,S(1),,7194,D,$182.176(6),"309,160(3)",D,, Chief Business & Legal Officer,Yandell Keith ,DASH 
4,Class A Common Stock,07/06/2021,,S(1),,10440,D,$183.159(7),"298,720(3)",D,, Chief Business & Legal Officer,Yandell Keith ,DASH 
5,Class A Common Stock,07/06/2021,,S(1),,1601,D,$183.721(8),"297,119(3)",D,, Chief Business & Legal Officer,Yandell Keith ,DASH 
0,"Class B Common Stock, par value $.01 per share",07/06/2021,,A,,754(1),A,$16.578(2),"2,499(3)",D,,,SUESS GREGORY ,ZDGE 
0,Common Stock,07/06/2021,,S(1),,4906.0,D,$46.7826(2),1014747,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
1,Common Stock,07/06/2021,,S(1),,1349.0,D,$47.1668(3),1013398,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
2,Common Stock,07/06/2021,,S(1),,96.0,D,$48.8341(4),1013302,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
3,Common Stock,07/07/2021,,S(1),,1166.0,D,$46.0784(5),1012136,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
4,Common Stock,07/07/2021,,S(1),,1842.0,D,$47.2801(6),1010294,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
5,Common Stock,07/07/2021,,S(1),,1506.0,D,$47.7626(7),1008788,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
6,Common Stock,07/06/2021,,S(8),,12947.0,D,$46.8364(9),995841,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
7,Common Stock,07/06/2021,,S(8),,800.0,D,$47.3298(10),995041,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
8,Common Stock,07/06/2021,,S(8),,200.0,D,$49.205(11),994841,D,, Chief Operating Officer,Bunker Kevin D. ,ZNTL 
9,Common Stock,,,,,,,,25260,I,See Footnote(12), Chief Operating Officer,Bunker Kevin D. ,ZNTL 
0,Class A Common Stock,07/06/2021,,C,,15625,A,$0,15625,D,,,Hammonds Kimberly ,ZM 
1,Class A Common Stock,07/06/2021,,S(1),,15625,D,$400.0507(2),0,D,,,Hammonds Kimberly ,ZM 
0,Class A Common Stock,07/06/2021,,C(1)(2),,145499,A,(2),145499,D,,,DO Holdings ,ZI 
1,Class A Common Stock,07/06/2021,,S(1),,39416,D,$52.2621(3),106083,D,,,DO Holdings ,ZI 
2,Class A Common Stock,07/06/2021,,S(1),,74028,D,$52.7135(4),32055,D,,,DO Holdings ,ZI 
3,Class A Common Stock,07/06/2021,,S(1),,32055,D,$53.6993(5),0,D,,,DO Holdings ,ZI 
0,Common Stock,07/06/2021,,C,,26187,A,(1),26187,D,, Chief Financial Officer,Zuga Matt ,ABOS 
0,Common Stock,07/02/2021,,J(1),,2147916,D,(1),0,D,, Chief Strategy Officer,Zuriff Laurence ,XMTR 
1,Class A Common Stock,07/02/2021,,J(1),,2147916,A,(1),2147916,D,, Chief Strategy Officer,Zuriff Laurence ,XMTR 
2,Class A Common Stock,07/02/2021,,J(2),,1200843,D,(2),947073,D,, Chief Strategy Officer,Zuriff Laurence ,XMTR 
3,Common Stock,07/02/2021,,J(1),,300000,D,(1),0,I,Held by the Jason Eric Zuriff Trust, Chief Strategy Officer,Zuriff Laurence ,XMTR 
4,Class A Common Stock,07/02/2021,,J(1),,300000,A,(1),300000,I,Held by the Jason Eric Zuriff Trust, Chief Strategy Officer,Zuriff Laurence ,XMTR 
5,Common Stock,07/02/2021,,J(1),,300000,D,(1),0,I,Held by the Sophie Anna Zuriff 2020 Trust, Chief Strategy Officer,Zuriff Laurence ,XMTR 
6,Class A Common Stock,07/02/2021,,J(1),,300000,A,(1),300000,I,Held by the Sophie Anna Zuriff 2020 Trust, Chief Strategy Officer,Zuriff Laurence ,XMTR 
7,Common Stock,07/02/2021,,J(1),,300000,D,(1),0,I,Held by the Zuriff Family 2020 Trust, Chief Strategy Officer,Zuriff Laurence ,XMTR 
8,Class A Common Stock,07/02/2021,,J(1),,300000,A,(1),300000,I,Held by the Zuriff Family 2020 Trust, Chief Strategy Officer,Zuriff Laurence ,XMTR 
9,Class A Common Stock,07/02/2021,,C,,201176,A,(3),201176,I,"Held by ZFI Capital,LP.", Chief Strategy Officer,Zuriff Laurence ,XMTR 
0,Common Shares,07/06/2021,,A(1),,299.0,A,$29.49,10770,D,, Chief Financial Officer,Klompas Neil A ,ZYME 
1,Common Shares,,,,,,,,700,I,Held by spouse, Chief Financial Officer,Klompas Neil A ,ZYME 
0,Common Stock,,,,,,,,2640,D,,,van Veenendaal Frank ,COUP 
1,Common Stock,07/06/2021,,S(1),,400.0,D,$275,11314,I,By Trust(2),,van Veenendaal Frank ,COUP 
2,Common Stock,07/06/2021,,S(1),,400.0,D,$275,11314,I,By Trust(2),,van Veenendaal Frank ,COUP 
3,Common Stock,,,,,,,,78893,I,By Trust(3),,van Veenendaal Frank ,COUP 
